iter	Passed	Remaining
0	36	18355
1	71	17893
2	113	18768
3	148	18437
4	185	18362
5	219	18085
6	255	18008
7	292	18014
8	329	17996
9	366	17959
10	402	17878
11	438	17839
12	475	17810
13	509	17674
14	545	17651
15	579	17517
16	613	17443
17	647	17336
18	683	17308
19	718	17253
20	754	17217
21	790	17183
22	825	17123
23	862	17106
24	899	17091
25	935	17062
26	971	17026
27	1010	17031
28	1045	16981
29	1082	16961
30	1119	16943
31	1154	16888
32	1190	16845
33	1226	16806
34	1262	16777
35	1299	16754
36	1337	16733
37	1375	16718
38	1413	16710
39	1452	16701
40	1492	16708
41	1531	16703
42	1573	16718
43	1612	16716
44	1650	16685
45	1688	16669
46	1726	16644
47	1765	16623
48	1804	16608
49	1839	16559
50	1876	16522
51	1916	16511
52	1953	16477
53	1992	16457
54	2029	16417
55	2063	16364
56	2099	16320
57	2135	16272
58	2172	16236
59	2208	16193
60	2244	16153
61	2280	16112
62	2318	16081
63	2355	16044
64	2391	16002
65	2428	15971
66	2463	15920
67	2501	15892
68	2537	15850
69	2572	15805
70	2609	15767
71	2645	15724
72	2687	15718
73	2728	15706
74	2768	15689
75	2806	15658
76	2845	15631
77	2882	15594
78	2923	15581
79	2962	15555
80	3004	15539
81	3043	15514
82	3085	15500
83	3129	15497
84	3172	15490
85	3217	15487
86	3260	15479
87	3301	15457
88	3344	15445
89	3386	15429
90	3432	15425
91	3477	15421
92	3521	15411
93	3562	15388
94	3609	15386
95	3654	15381
96	3698	15365
97	3741	15349
98	3783	15324
99	3821	15287
100	3857	15237
101	3893	15191
102	3930	15147
103	3966	15101
104	4002	15056
105	4038	15009
106	4074	14965
107	4110	14919
108	4144	14868
109	4181	14824
110	4217	14781
111	4253	14736
112	4288	14687
113	4324	14644
114	4359	14593
115	4393	14543
116	4427	14494
117	4463	14450
118	4500	14409
119	4535	14363
120	4573	14326
121	4611	14287
122	4652	14259
123	4689	14220
124	4726	14180
125	4762	14136
126	4800	14098
127	4836	14056
128	4875	14022
129	4912	13982
130	4951	13946
131	4990	13912
132	5027	13871
133	5062	13827
134	5098	13785
135	5135	13745
136	5171	13703
137	5207	13659
138	5244	13620
139	5282	13582
140	5318	13540
141	5352	13495
142	5388	13451
143	5423	13407
144	5457	13362
145	5493	13320
146	5528	13276
147	5565	13237
148	5600	13193
149	5636	13151
150	5671	13107
151	5705	13062
152	5739	13016
153	5778	12982
154	5828	12972
155	5870	12945
156	5910	12913
157	5952	12883
158	5994	12855
159	6034	12823
160	6073	12788
161	6112	12754
162	6154	12723
163	6196	12694
164	6236	12661
165	6277	12630
166	6319	12601
167	6362	12574
168	6407	12550
169	6448	12516
170	6492	12492
171	6533	12458
172	6573	12424
173	6608	12382
174	6642	12336
175	6679	12295
176	6715	12254
177	6751	12213
178	6788	12173
179	6823	12130
180	6859	12090
